2020-01-09T17:55:36.584-0500 I NETWORK  [js] Starting new replica set monitor for prod-cluster-shard-0/prod-cluster-shard-00-00-v4dbc.mongodb.net:27017,prod-cluster-shard-00-01-v4dbc.mongodb.net:27017,prod-cluster-shard-00-02-v4dbc.mongodb.net:27017
2020-01-09T17:55:36.964-0500 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Successfully connected to prod-cluster-shard-00-01-v4dbc.mongodb.net:27017 (1 connections now open to prod-cluster-shard-00-01-v4dbc.mongodb.net:27017 with a 5 second timeout)
2020-01-09T17:55:36.967-0500 I NETWORK  [js] Successfully connected to prod-cluster-shard-00-00-v4dbc.mongodb.net:27017 (1 connections now open to prod-cluster-shard-00-00-v4dbc.mongodb.net:27017 with a 5 second timeout)
2020-01-09T17:55:37.241-0500 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Successfully connected to prod-cluster-shard-00-02-v4dbc.mongodb.net:27017 (1 connections now open to prod-cluster-shard-00-02-v4dbc.mongodb.net:27017 with a 5 second timeout)
deleted-2019-11-27-datwanin, U03589591 > deleted-2020-01-09-U03589591
deleted-2019-11-27-plovett, U03599743 > deleted-2020-01-09-U03599743
deleted-2019-11-27-lucat, U03631818 > deleted-2020-01-09-U03631818
deleted-2019-11-27-amandlau, U03644067 > deleted-2020-01-09-U03644067
deleted-2019-11-27-zvalera, U03689626 > deleted-2020-01-09-U03689626
deleted-2019-11-27-smkim, U03697249 > deleted-2020-01-09-U03697249
deleted-2019-11-27-deeps19, U03702224 > deleted-2020-01-09-U03702224
deleted-2019-11-27-wwj, U03748549 > deleted-2020-01-09-U03748549
deleted-2019-11-27-htp09, U03796032 > deleted-2020-01-09-U03796032
deleted-2019-11-27-mscraig, U03798977 > deleted-2020-01-09-U03798977
deleted-2019-11-27-yoosik, U03802890 > deleted-2020-01-09-U03802890
deleted-2019-11-27-pinotsis, U03825066 > deleted-2020-01-09-U03825066
deleted-2019-11-27-echotan, U03863893 > deleted-2020-01-09-U03863893
deleted-2019-11-27-ujeans1, U03881721 > deleted-2020-01-09-U03881721
deleted-2019-11-27-rogersk, U03900035 > deleted-2020-01-09-U03900035
deleted-2019-11-27-agrawal3, U03902961 > deleted-2020-01-09-U03902961
deleted-2019-11-27-farooqis, U03935415 > deleted-2020-01-09-U03935415
deleted-2019-11-27-okohn, U03946008 > deleted-2020-01-09-U03946008
deleted-2019-11-27-jake1997, U03953361 > deleted-2020-01-09-U03953361
deleted-2020-01-08-emvecc, U03973521 > deleted-2020-01-09-U03973521
deleted-2019-11-27-zhuw, U04019998 > deleted-2020-01-09-U04019998
deleted-2019-11-27-shin2, U04023867 > deleted-2020-01-09-U04023867
deleted-2019-11-27-jaskielj, U04028899 > deleted-2020-01-09-U04028899
deleted-2019-11-27-mlazure, U04031011 > deleted-2020-01-09-U04031011
deleted-2019-11-27-manzelli, U04055592 > deleted-2020-01-09-U04055592
deleted-2019-11-27-sbowen, U04079758 > deleted-2020-01-09-U04079758
deleted-2019-11-27-rjheckle, U04084941 > deleted-2020-01-09-U04084941
deleted-2019-11-27-lexik, U04102418 > deleted-2020-01-09-U04102418
deleted-2019-11-27-tfereol, U04107846 > deleted-2020-01-09-U04107846
deleted-2019-11-27-ramosjm, U04109709 > deleted-2020-01-09-U04109709
deleted-2019-11-27-elodie, U04120085 > deleted-2020-01-09-U04120085
deleted-2019-11-27-pedrodlf, U04131993 > deleted-2020-01-09-U04131993
deleted-2019-11-27-amurrizi, U04142568 > deleted-2020-01-09-U04142568
deleted-2019-11-27-mgull, U04162926 > deleted-2020-01-09-U04162926
deleted-2019-11-27-joecm97, U04168083 > deleted-2020-01-09-U04168083
deleted-2019-11-27-ncunha, U04178208 > deleted-2020-01-09-U04178208
